,polyline,value
9,"[[57, 41.147328, -8.60898], [58, 41.147493, -8.609136000000001], [59, 41.14765799999999, -8.609292000000002], [60, 41.147658, -8.609292], [61, 41.1476886, -8.6094828], [62, 41.1477192, -8.6096736], [63, 41.14774980000001, -8.609864400000001], [64, 41.14778040000001, -8.610055200000001], [65, 41.14781100000001, -8.610246000000002], [66, 41.147811, -8.610246], [67, 41.147802, -8.610381000000002], [68, 41.14782, -8.610552], [69, 41.147841375, -8.610753375], [70, 41.14786275, -8.61095475], [71, 41.147884125, -8.611156124999999], [77, 41.147991, -8.612163], [78, 41.14798269230769, -8.612346634615385], [79, 41.14797438461539, -8.612530269230769], [80, 41.14796607692308, -8.612713903846153], [81, 41.14795776923078, -8.612897538461537], [82, 41.14794946153848, -8.613081173076921], [83, 41.14794115384617, -8.613264807692305], [84, 41.14793284615386, -8.61344844230769], [85, 41.14792453846156, -8.613632076923073], [86, 41.147916230769255, -8.613815711538457], [87, 41.14790792307695, -8.613999346153841], [88, 41.147899615384645, -8.614182980769225], [89, 41.14789130769234, -8.61436661538461], [90, 41.14788300000004, -8.614550249999994], [91, 41.14787469230773, -8.614733884615378], [92, 41.14786638461543, -8.614917519230762], [93, 41.14785807692312, -8.615101153846146], [94, 41.14784976923082, -8.61528478846153], [95, 41.14784146153851, -8.615468423076914], [96, 41.14783315384621, -8.615652057692298], [97, 41.1478248461539, -8.615835692307682], [98, 41.1478165384616, -8.616019326923066], [99, 41.14780823076929, -8.61620296153845], [100, 41.14779992307699, -8.616386596153834], [101, 41.14779161538468, -8.616570230769218], [102, 41.14778330769238, -8.616753865384602], [103, 41.14777500000008, -8.616937499999986], [104, 41.14776669230777, -8.61712113461537], [105, 41.14775838461546, -8.617304769230755], [106, 41.14775007692316, -8.617488403846139], [107, 41.147741769230855, -8.617672038461523], [108, 41.14773346153855, -8.617855673076907], [109, 41.147725153846245, -8.61803930769229], [110, 41.14771684615394, -8.618222942307675], [111, 41.14770853846164, -8.618406576923059], [112, 41.14770023076933, -8.618590211538443], [113, 41.14769192307703, -8.618773846153827], [114, 41.14768361538472, -8.618957480769211], [115, 41.14767530769242, -8.619141115384595], [116, 41.14766700000011, -8.61932474999998], [117, 41.14765869230781, -8.619508384615363], [118, 41.1476503846155, -8.619692019230747], [119, 41.1476420769232, -8.619875653846131], [120, 41.14763376923089, -8.620059288461515], [121, 41.14762546153859, -8.6202429230769], [122, 41.14761715384629, -8.620426557692284], [123, 41.14760884615398, -8.620610192307668], [124, 41.14760053846168, -8.620793826923052], [125, 41.14759223076937, -8.620977461538436], [126, 41.147583923077065, -8.62116109615382], [127, 41.14757561538476, -8.621344730769204], [128, 41.147567307692455, -8.621528365384588], [129, 41.14755900000015, -8.621711999999972], [130, 41.147559, -8.621712], [131, 41.147625000000005, -8.621922], [132, 41.14769100000001, -8.622131999999999], [133, 41.14775700000001, -8.622341999999998], [134, 41.147757000000006, -8.622342], [135, 41.147811, -8.6225265], [136, 41.147865, -8.622710999999999], [137, 41.147919, -8.622895499999998], [138, 41.147973, -8.623079999999998], [139, 41.148027, -8.623264499999998], [140, 41.148081, -8.623448999999997], [141, 41.148135, -8.623633499999997], [142, 41.148189, -8.623817999999996], [143, 41.148189, -8.623818], [144, 41.1482595, -8.6240145], [145, 41.14833, -8.624210999999999], [146, 41.1484005, -8.624407499999998], [147, 41.148471, -8.624603999999998], [148, 41.1485415, -8.624800499999997], [149, 41.148612, -8.624996999999997], [150, 41.148612, -8.624997], [151, 41.148768857142855, -8.625096000000001], [152, 41.14892571428571, -8.625195000000001], [153, 41.149082571428565, -8.625294000000002], [154, 41.14923942857142, -8.625393000000003], [155, 41.14939628571428, -8.625492000000003], [156, 41.14955314285713, -8.625591000000004], [157, 41.14970999999999, -8.625690000000004], [158, 41.14971, -8.62569], [159, 41.1498981, -8.625720600000001], [160, 41.1500862, -8.625751200000002], [161, 41.15027430000001, -8.625781800000002], [162, 41.15046240000001, -8.625812400000003], [163, 41.15065050000001, -8.625843000000003], [164, 41.150838600000014, -8.625873600000004], [165, 41.15102670000002, -8.625904200000004], [166, 41.15121480000002, -8.625934800000005], [167, 41.15140290000002, -8.625965400000005], [168, 41.151591000000025, -8.625996000000006], [169, 41.151591, -8.625996], [170, 41.1518115, -8.626041], [171, 41.152032, -8.626086], [172, 41.1522525, -8.626131], [173, 41.15247299999999, -8.626176000000001], [174, 41.152473, -8.626176000000001], [175, 41.152664, -8.626236]]",165.0
0,"[[2, 41.148747, -8.585712000000001], [3, 41.148945, -8.585775], [4, 41.148981, -8.586036]]",51.0
0,"[[11, 41.15214642857142, -8.626392], [12, 41.15234957142856, -8.626418999999999], [13, 41.1525527142857, -8.626445999999998]]",39.0
0,"[[0, 41.1489, -8.585685000000002], [1, 41.148990000000005, -8.586018000000001], [2, 41.1490116, -8.5862178], [3, 41.1490332, -8.586417599999999]]",43.0
2,"[[20, 41.158692, -8.629821000000002], [21, 41.1585192, -8.629923600000001], [22, 41.1583464, -8.630026200000001], [23, 41.1581736, -8.630128800000001], [24, 41.1580008, -8.630231400000001], [25, 41.157828, -8.630334000000001], [26, 41.157828, -8.630334], [27, 41.1576768, -8.6302152], [28, 41.15752560000001, -8.630096400000001], [29, 41.15737440000001, -8.629977600000002], [30, 41.15722320000001, -8.629858800000003], [31, 41.157072000000014, -8.629740000000004]]",42.0
0,"[[131, 41.145993, -8.612829000000001], [132, 41.145993, -8.612829], [133, 41.146065, -8.61255], [134, 41.146038, -8.612316]]",55.0
1,"[[106, 41.14498757142857, -8.616611571428571], [107, 41.14506985714286, -8.616441857142856], [108, 41.14515214285714, -8.616272142857142], [109, 41.14523442857143, -8.616102428571427], [110, 41.14531671428571, -8.615932714285712], [111, 41.145399, -8.615762999999998], [112, 41.145399, -8.615763], [113, 41.14546457142857, -8.615588142857142], [114, 41.14553014285714, -8.615413285714284], [115, 41.14559571428571, -8.615238428571427], [116, 41.14566128571428, -8.61506357142857]]",38.0
0,"[[94, 41.1461655, -8.6177175], [95, 41.145987000000005, -8.617664999999999], [96, 41.14580850000001, -8.617612499999998], [97, 41.14563000000001, -8.617559999999997], [98, 41.145451500000014, -8.617507499999997]]",32.0
0,"[[1, 41.148846, -8.585747999999999], [2, 41.148945, -8.585973], [3, 41.149044, -8.586198], [4, 41.1489, -8.586234000000001]]",43.0
0,"[[1, 41.148756, -8.585730000000002], [2, 41.148954, -8.585721], [3, 41.148981, -8.586063000000001], [4, 41.148801000000006, -8.586153]]",40.0
10,"[[3, 41.14602, -8.610723], [4, 41.146134, -8.610555], [5, 41.14624799999999, -8.610387], [6, 41.14636199999999, -8.610218999999999], [7, 41.146362, -8.610218999999999], [8, 41.146542, -8.609957999999999], [9, 41.146695, -8.60967], [10, 41.146767, -8.609346], [11, 41.146890000000006, -8.609181000000001], [15, 41.147199, -8.60886], [16, 41.147433, -8.609013], [17, 41.147514, -8.609205], [18, 41.147595, -8.609397], [19, 41.147676, -8.609589], [20, 41.147676, -8.609589000000001], [21, 41.147706, -8.6097675], [22, 41.147736, -8.609946], [23, 41.14776599999999, -8.610124500000001], [24, 41.14779599999999, -8.610303000000002], [25, 41.14782599999998, -8.610481500000002], [26, 41.147855999999976, -8.610660000000003], [27, 41.147856, -8.61066], [28, 41.147802, -8.610714000000002], [29, 41.147694, -8.610777], [30, 41.147895, -8.610819000000001], [31, 41.148096, -8.610861000000002], [33, 41.148297, -8.610903], [34, 41.148486, -8.610831000000001], [35, 41.148675, -8.610759000000002], [36, 41.148864, -8.610687000000002], [37, 41.148864, -8.610687], [38, 41.148909, -8.610642000000002], [39, 41.149071000000006, -8.610554250000002], [40, 41.14923300000001, -8.610466500000001], [41, 41.14939500000001, -8.61037875], [42, 41.149557000000016, -8.610291], [43, 41.149557, -8.610291], [44, 41.1497478, -8.6102622], [45, 41.1499386, -8.610233399999998], [46, 41.1501294, -8.610204599999998], [47, 41.1503202, -8.610175799999997], [48, 41.150511, -8.610146999999996], [49, 41.15051100000001, -8.610147], [50, 41.150664000000006, -8.610047999999999], [51, 41.150817, -8.609948999999999], [52, 41.15097, -8.609849999999998], [53, 41.15097000000001, -8.60985], [54, 41.15118825, -8.60982975], [55, 41.15140650000001, -8.609809499999999], [56, 41.15162475000001, -8.609789249999999], [57, 41.151843000000014, -8.609768999999998], [58, 41.15184300000001, -8.609769], [59, 41.15204250000001, -8.609811], [60, 41.15224200000001, -8.609853000000001], [61, 41.15244150000001, -8.609895000000002], [62, 41.15264100000001, -8.609937000000002], [63, 41.15284050000001, -8.609979000000003], [64, 41.15304000000001, -8.610021000000003], [65, 41.15304, -8.610021], [66, 41.15324700000001, -8.6099895], [67, 41.15345400000001, -8.609957999999999], [68, 41.153661000000014, -8.609926499999998], [69, 41.15386800000002, -8.609894999999998], [70, 41.15407500000002, -8.609863499999998], [71, 41.15428200000002, -8.609831999999997], [72, 41.154282, -8.609832], [73, 41.154498, -8.60982525], [74, 41.154714000000006, -8.6098185]]",107.0
0,"[[63, 41.153922, -8.612091], [64, 41.154126000000005, -8.6121255], [65, 41.15433, -8.61216], [66, 41.154534, -8.6121945], [68, 41.15494199999999, -8.6122635]]",38.0
0,"[[18, 41.164137, -8.636616], [19, 41.164119, -8.636589], [21, 41.164137, -8.636553000000001]]",30.0
0,"[[1, 41.151276, -8.609652], [2, 41.1515145, -8.6097465], [3, 41.151753, -8.609841], [4, 41.151789, -8.610183000000001]]",46.0
12,"[[3, 41.148099, -8.612460000000002], [4, 41.148099, -8.61246], [5, 41.14808823529412, -8.612643705882354], [6, 41.14807747058824, -8.612827411764707], [7, 41.14806670588235, -8.61301111764706], [8, 41.14805594117647, -8.613194823529414], [10, 41.1480344117647, -8.61356223529412], [11, 41.148023647058814, -8.613745941176473], [12, 41.14801288235293, -8.613929647058827], [13, 41.148002117647046, -8.61411335294118], [14, 41.14799135294116, -8.614297058823533], [15, 41.14798058823528, -8.614480764705887], [16, 41.147969823529394, -8.61466447058824], [17, 41.14795905882351, -8.614848176470593], [18, 41.147948294117626, -8.615031882352946], [19, 41.14793752941174, -8.6152155882353], [20, 41.14792676470586, -8.615399294117653], [21, 41.14791599999997, -8.615583000000006], [22, 41.14790523529409, -8.61576670588236], [23, 41.147894470588206, -8.615950411764713], [24, 41.14788370588232, -8.616134117647066], [25, 41.14787294117644, -8.61631782352942], [26, 41.14786217647056, -8.616501529411773], [27, 41.14785141176467, -8.616685235294126], [28, 41.14784064705879, -8.61686894117648], [29, 41.1478298823529, -8.617052647058832], [30, 41.14781911764702, -8.617236352941186], [31, 41.147808352941134, -8.617420058823539], [32, 41.14779758823525, -8.617603764705892], [33, 41.147786823529366, -8.617787470588246], [34, 41.14777605882348, -8.617971176470599], [35, 41.1477652941176, -8.618154882352952], [36, 41.14775452941171, -8.618338588235305], [37, 41.14774376470583, -8.618522294117659], [38, 41.147732999999945, -8.618706000000012], [39, 41.14772223529406, -8.618889705882365], [40, 41.14771147058818, -8.619073411764719], [41, 41.14770070588229, -8.619257117647072], [42, 41.14768994117641, -8.619440823529425], [43, 41.147679176470525, -8.619624529411778], [44, 41.14766841176464, -8.619808235294132], [45, 41.14765764705876, -8.619991941176485], [46, 41.14764688235287, -8.620175647058838], [47, 41.14763611764699, -8.620359352941191], [48, 41.14762535294111, -8.620543058823545], [49, 41.14761458823522, -8.620726764705898], [50, 41.14760382352934, -8.620910470588251], [51, 41.14759305882345, -8.621094176470605], [52, 41.14758229411757, -8.621277882352958], [53, 41.147571529411685, -8.621461588235311], [54, 41.1475607647058, -8.621645294117664], [55, 41.14754999999992, -8.621829000000018], [56, 41.14755, -8.621829], [57, 41.1476004, -8.6220126], [58, 41.1476508, -8.6221962], [59, 41.14770119999999, -8.6223798], [60, 41.14775159999999, -8.622563399999999], [61, 41.14780199999999, -8.622746999999999], [62, 41.14785239999999, -8.622930599999998], [63, 41.14790279999999, -8.623114199999998], [64, 41.14795319999999, -8.623297799999998], [65, 41.14800359999999, -8.623481399999998], [66, 41.14805399999999, -8.623664999999997], [67, 41.148054, -8.623665], [68, 41.148128571428565, -8.623854000000001], [69, 41.148203142857135, -8.624043000000002], [70, 41.148277714285705, -8.624232000000003], [71, 41.14835228571428, -8.624421000000003], [72, 41.14842685714285, -8.624610000000004], [73, 41.14850142857141, -8.624799000000005], [74, 41.148575999999984, -8.624988000000005], [75, 41.148576000000006, -8.624988], [76, 41.14873542857144, -8.62508057142857], [77, 41.148894857142864, -8.625173142857141], [78, 41.14905428571429, -8.625265714285712], [79, 41.14921371428572, -8.625358285714283], [80, 41.14937314285715, -8.625450857142853], [81, 41.14953257142858, -8.625543428571424], [82, 41.14969200000001, -8.625635999999995], [83, 41.14969200000001, -8.625636], [84, 41.14989257142858, -8.625677142857143], [85, 41.15009314285715, -8.625718285714285], [86, 41.15029371428572, -8.625759428571428], [87, 41.150494285714295, -8.62580057142857], [88, 41.15069485714287, -8.625841714285713], [89, 41.15089542857144, -8.625882857142855], [90, 41.15109600000001, -8.625923999999998], [91, 41.151096, -8.625924], [92, 41.1513015, -8.6259555], [93, 41.151507, -8.625987], [94, 41.1517125, -8.6260185], [95, 41.151918, -8.626050000000001], [96, 41.1521235, -8.626081500000002], [97, 41.152329, -8.626113000000002], [98, 41.152329, -8.626113], [99, 41.152374, -8.626290749999999], [100, 41.152419, -8.626468499999998], [101, 41.152464, -8.626646249999997], [102, 41.152509, -8.626823999999996], [103, 41.152509, -8.626824], [104, 41.15251472727273, -8.627004818181817], [105, 41.15252045454546, -8.627185636363635], [106, 41.15252618181819, -8.627366454545452], [107, 41.15253190909092, -8.62754727272727], [108, 41.15253763636365, -8.627728090909088], [109, 41.152543363636376, -8.627908909090905], [110, 41.15254909090911, -8.628089727272723], [111, 41.15255481818184, -8.62827054545454], [112, 41.15256054545456, -8.628451363636358], [113, 41.15256627272729, -8.628632181818176], [114, 41.15257200000002, -8.628812999999994], [115, 41.152572000000006, -8.628813000000001], [116, 41.15257875, -8.629005375], [117, 41.1525855, -8.62919775], [118, 41.15259225, -8.629390124999999], [119, 41.152599, -8.629582499999998], [120, 41.15260574999999, -8.629774874999997], [121, 41.15261249999999, -8.629967249999996], [122, 41.15261924999999, -8.630159624999996], [123, 41.152625999999984, -8.630351999999995], [124, 41.152626, -8.630351999999998], [125, 41.152599, -8.630379], [126, 41.15262214285714, -8.630575714285714], [127, 41.152645285714286, -8.630772428571428], [128, 41.15266842857143, -8.630969142857142], [129, 41.152691571428576, -8.631165857142856], [130, 41.15271471428572, -8.63136257142857]]",166.0
0,"[[2, 41.148747, -8.585747999999999], [3, 41.148963, -8.585847000000001], [4, 41.14897200000001, -8.58591], [5, 41.148927, -8.586112499999999]]",40.0
3,"[[10, 41.162676, -8.606673], [11, 41.162913, -8.606682000000001], [12, 41.16308785714286, -8.606620285714287], [13, 41.16326271428572, -8.606558571428574], [14, 41.16343757142858, -8.60649685714286], [15, 41.16361242857144, -8.606435142857146], [16, 41.1637872857143, -8.606373428571432], [17, 41.16396214285716, -8.606311714285718], [18, 41.16413700000002, -8.606250000000005], [19, 41.164137, -8.606250000000001], [20, 41.164326, -8.606307000000001], [21, 41.164515, -8.606364000000001], [22, 41.16470399999999, -8.606421000000001], [23, 41.164704, -8.606421000000001], [24, 41.16489171428572, -8.606424857142859], [25, 41.16507942857143, -8.606428714285716], [26, 41.16526714285715, -8.606432571428574], [27, 41.16545485714286, -8.606436428571431], [28, 41.16564257142858, -8.606440285714289], [29, 41.16583028571429, -8.606444142857146], [30, 41.16601800000001, -8.606448000000004], [31, 41.166018, -8.606448], [32, 41.166210375, -8.606449125000001], [33, 41.16640275, -8.606450250000002], [34, 41.16659512499999, -8.606451375000002], [35, 41.16678749999999, -8.606452500000003], [36, 41.16697987499999, -8.606453625000004], [37, 41.16717224999999, -8.606454750000005], [38, 41.16736462499998, -8.606455875000005], [39, 41.16755699999998, -8.606457000000006], [40, 41.167557, -8.606457], [41, 41.1677442, -8.606418300000001], [42, 41.16793139999999, -8.6063796], [43, 41.16811859999999, -8.6063409], [44, 41.16830579999999, -8.606302199999998], [45, 41.16849299999999, -8.606263499999997], [46, 41.16868019999999, -8.606224799999996], [47, 41.16886739999999, -8.606186099999995], [48, 41.16905459999999, -8.606147399999994], [49, 41.16924179999999, -8.606108699999993], [50, 41.16942899999999, -8.606069999999992], [51, 41.169429, -8.606069999999999], [52, 41.169579, -8.605955999999999], [53, 41.169729, -8.605841999999999], [54, 41.169879, -8.605728], [55, 41.17002899999999, -8.605614], [56, 41.17017899999999, -8.6055]]",95.0
5,"[[32, 41.1474762, -8.608388399999999], [33, 41.1475464, -8.608582799999999], [34, 41.147616600000006, -8.608777199999999], [35, 41.14768680000001, -8.608971599999999], [38, 41.14779300000001, -8.6093565], [39, 41.147829, -8.609547000000001], [40, 41.147865, -8.609737500000001], [41, 41.14790099999999, -8.609928000000002], [42, 41.14793699999999, -8.610118500000002], [43, 41.14797299999998, -8.610309000000003], [44, 41.14797299999999, -8.610309], [45, 41.147919, -8.610381000000002], [46, 41.148036, -8.610549], [48, 41.14827, -8.610884999999998], [49, 41.14827, -8.610885], [50, 41.148603, -8.610768], [51, 41.148864, -8.610651], [52, 41.1490365, -8.610588], [53, 41.149209, -8.610524999999999], [54, 41.1493815, -8.610461999999998], [55, 41.149554, -8.610398999999997], [56, 41.14972649999999, -8.610335999999997], [57, 41.14989899999999, -8.610272999999996], [58, 41.149899000000005, -8.610273000000001], [59, 41.15016, -8.6103], [61, 41.150412, -8.610291], [62, 41.150556, -8.610228000000001], [63, 41.1507045, -8.610113250000001], [65, 41.15100150000001, -8.609883750000002], [66, 41.15115000000001, -8.609769000000002], [67, 41.15115, -8.609769], [68, 41.15133, -8.609634], [69, 41.15151, -8.609499], [70, 41.15151, -8.609499000000001], [71, 41.151648, -8.609634000000002], [72, 41.151786, -8.609769000000002], [73, 41.151924, -8.609904000000002], [74, 41.15192400000001, -8.609904], [75, 41.15214000000001, -8.6099274], [76, 41.15235600000001, -8.6099508], [77, 41.15257200000001, -8.6099742], [78, 41.152788000000015, -8.6099976], [79, 41.15300400000002, -8.610021], [80, 41.153004, -8.610021], [81, 41.153222250000006, -8.61001875], [82, 41.15344050000001, -8.6100165], [83, 41.15365875000001, -8.61001425], [84, 41.153877000000016, -8.610012000000001], [85, 41.15387700000001, -8.610012000000001], [86, 41.154052500000006, -8.609936625000001], [87, 41.154228, -8.609861250000002], [88, 41.1544035, -8.609785875000002], [89, 41.154579, -8.609710500000002], [90, 41.1547545, -8.609635125000002], [91, 41.15492999999999, -8.609559750000003], [92, 41.15510549999999, -8.609484375000003], [93, 41.15528099999999, -8.609409000000003], [94, 41.155281, -8.609409], [95, 41.15546774999999, -8.6094045], [96, 41.15565449999999, -8.6094], [97, 41.15584124999999, -8.609395500000002], [98, 41.15602799999999, -8.609391000000002], [99, 41.15621474999998, -8.609386500000003], [100, 41.15640149999998, -8.609382000000004], [101, 41.15658824999998, -8.609377500000004], [102, 41.156774999999975, -8.609373000000005], [104, 41.157108, -8.609337], [105, 41.157289285714285, -8.609275285714286], [106, 41.15747057142857, -8.609213571428572], [107, 41.15765185714285, -8.609151857142859], [108, 41.157833142857136, -8.609090142857145], [109, 41.15801442857142, -8.609028428571431], [110, 41.1581957142857, -8.608966714285717], [111, 41.15837699999999, -8.608905000000004], [112, 41.158377, -8.608905], [113, 41.158545545454544, -8.608824], [114, 41.15871409090909, -8.608743], [115, 41.15888263636364, -8.608662], [116, 41.15905118181819, -8.608581000000001], [117, 41.15921972727274, -8.608500000000001], [118, 41.15938827272729, -8.608419000000001], [119, 41.15955681818184, -8.608338000000002], [120, 41.15972536363639, -8.608257000000002], [121, 41.15989390909094, -8.608176000000002], [122, 41.16006245454549, -8.608095000000002], [123, 41.16023100000004, -8.608014000000002], [124, 41.160231, -8.608014], [125, 41.16040568181818, -8.607940363636365], [126, 41.16058036363636, -8.607866727272729], [127, 41.16075504545454, -8.607793090909093], [128, 41.16092972727272, -8.607719454545457], [129, 41.1611044090909, -8.60764581818182], [130, 41.16127909090908, -8.607572181818185], [131, 41.16145377272726, -8.607498545454549], [132, 41.16162845454544, -8.607424909090913], [133, 41.16180313636362, -8.607351272727277], [134, 41.1619778181818, -8.60727763636364], [135, 41.16215249999998, -8.607204000000005], [136, 41.16232718181816, -8.607130363636369], [137, 41.16250186363634, -8.607056727272733], [138, 41.16267654545453, -8.606983090909097], [139, 41.162851227272704, -8.60690945454546], [140, 41.16302590909088, -8.606835818181825], [141, 41.16320059090906, -8.606762181818189], [142, 41.16337527272725, -8.606688545454553], [143, 41.163549954545424, -8.606614909090917], [144, 41.1637246363636, -8.60654127272728], [145, 41.16389931818178, -8.606467636363645], [146, 41.16407399999997, -8.606394000000009], [147, 41.164074, -8.606394], [148, 41.164137, -8.606322], [149, 41.164323, -8.606331], [150, 41.164509, -8.606340000000001], [151, 41.164695, -8.606349000000002], [152, 41.164881, -8.606358000000002], [153, 41.16506699999999, -8.606367000000002], [154, 41.16525299999999, -8.606376000000003], [155, 41.165253, -8.606376], [156, 41.165454857142855, -8.606391428571428], [157, 41.16565671428571, -8.606406857142856], [158, 41.165858571428565, -8.606422285714284], [159, 41.16606042857142, -8.606437714285713], [160, 41.16626228571428, -8.606453142857141], [161, 41.16646414285713, -8.60646857142857], [162, 41.16666599999999, -8.606483999999998], [163, 41.166666, -8.606484], [164, 41.166858, -8.606482], [165, 41.16705, -8.60648], [166, 41.167242, -8.606478], [167, 41.16743399999999, -8.606475999999999], [168, 41.16762599999999, -8.606473999999999], [169, 41.16781799999999, -8.606471999999998], [170, 41.16800999999999, -8.606469999999998], [171, 41.16820199999999, -8.606467999999998], [172, 41.16839399999999, -8.606465999999998], [173, 41.168394, -8.606466000000001], [174, 41.16855927272727, -8.606366181818183], [175, 41.16872454545455, -8.606266363636365], [176, 41.16888981818182, -8.606166545454547], [177, 41.16905509090909, -8.60606672727273], [178, 41.16922036363636, -8.605966909090911], [179, 41.16938563636364, -8.605867090909094], [180, 41.16955090909091, -8.605767272727276], [181, 41.16971618181818, -8.605667454545458], [182, 41.169881454545454, -8.60556763636364], [183, 41.17004672727273, -8.605467818181822], [184, 41.170212, -8.605368000000004]]",192.0
0,"[[1, 41.144688, -8.606475], [2, 41.144688, -8.606493], [3, 41.144697, -8.606501999999999], [4, 41.144697, -8.60652], [5, 41.144688, -8.606501999999999], [6, 41.144805, -8.606799], [7, 41.144949, -8.606949]]",34.0
0,"[[23, 41.15247300000004, -8.629001999999993], [24, 41.152473, -8.629002], [25, 41.152464, -8.628817], [26, 41.152455, -8.628632]]",31.0
