,polyline,value
0,"[[286, 41.17386184615389, -8.59423361538461], [287, 41.17405292307697, -8.594225307692302], [288, 41.17424400000005, -8.594216999999993], [289, 41.17424400000001, -8.594216999999999], [290, 41.17442400000001, -8.594165499999999], [291, 41.17460400000001, -8.594114], [292, 41.17478400000001, -8.5940625], [293, 41.17496400000001, -8.594011], [294, 41.17514400000001, -8.5939595], [295, 41.17532400000001, -8.593908], [296, 41.17550400000001, -8.593856500000001], [297, 41.17568400000001, -8.593805000000001], [298, 41.17586400000001, -8.593753500000002], [299, 41.17604400000001, -8.593702000000002], [300, 41.17622400000001, -8.593650500000003], [301, 41.17640400000001, -8.593599000000003], [302, 41.17658400000001, -8.593547500000003], [303, 41.17676400000001, -8.593496000000004], [304, 41.17694400000001, -8.593444500000004], [305, 41.17712400000001, -8.593393000000004], [306, 41.177304000000014, -8.593341500000005], [307, 41.177484000000014, -8.593290000000005]]",31.0
0,"[[165, 41.160321, -8.581725000000004], [166, 41.160321, -8.581725]]",11.0
0,"[[141, 41.15640600000001, -8.582985000000003], [142, 41.15640600000001, -8.582985]]",11.0
0,"[[90, 41.148621, -8.579151000000001]]",18.0
0,"[[50, 41.144985000000005, -8.582903999999996], [51, 41.144985000000005, -8.582904]]",12.0
4,"[[1, 41.148603, -8.585703], [2, 41.148603, -8.585730000000002], [3, 41.148603, -8.585739], [4, 41.148612, -8.585730000000002], [5, 41.148621, -8.585721], [7, 41.148936000000006, -8.585775], [8, 41.14896300000001, -8.586036], [9, 41.14899000000001, -8.586297], [10, 41.148990000000005, -8.586297]]",20.0
0,"[[66, 41.149872, -8.595918000000001]]",14.0
8,"[[0, 41.148603, -8.585694], [1, 41.148684, -8.585757000000001], [2, 41.148882, -8.585712000000001], [3, 41.148963, -8.585757000000001], [4, 41.148954, -8.585837999999999], [5, 41.14897200000001, -8.586063000000001], [6, 41.14897200000001, -8.586170999999998], [7, 41.14900200000001, -8.586362999999999], [8, 41.149032000000005, -8.586554999999999], [9, 41.149062, -8.586746999999999], [10, 41.149092, -8.586939], [11, 41.14912199999999, -8.587131], [12, 41.14915199999999, -8.587323], [13, 41.149152, -8.587323], [14, 41.14923, -8.587551], [15, 41.14930799999999, -8.587779], [16, 41.14938599999999, -8.588007], [17, 41.14944, -8.58818925], [18, 41.149494, -8.5883715], [19, 41.14954800000001, -8.588553749999999], [20, 41.149602000000016, -8.588735999999999], [21, 41.149602, -8.588736], [22, 41.149647, -8.588912538461539], [23, 41.149692, -8.589089076923077], [24, 41.149737, -8.589265615384615], [25, 41.149782, -8.589442153846154], [26, 41.149827, -8.589618692307692], [27, 41.149872, -8.58979523076923], [28, 41.149917, -8.589971769230768], [29, 41.149962, -8.590148307692306], [30, 41.150007, -8.590324846153845], [31, 41.150052, -8.590501384615383], [32, 41.150097, -8.590677923076921], [33, 41.150142, -8.59085446153846], [34, 41.150187, -8.591030999999997], [35, 41.150187, -8.591031000000001], [36, 41.150236500000005, -8.59122], [37, 41.15028600000001, -8.591408999999999], [38, 41.15033550000001, -8.591597999999998], [39, 41.150385000000014, -8.591786999999997], [40, 41.15043450000002, -8.591975999999995], [41, 41.15048400000002, -8.592164999999994], [42, 41.150484000000006, -8.592165], [43, 41.150493, -8.592201000000001], [44, 41.150551500000006, -8.592399], [45, 41.15061000000001, -8.592597], [46, 41.15066850000001, -8.592794999999999], [47, 41.15072700000001, -8.592992999999998], [48, 41.15078550000001, -8.593190999999997], [49, 41.15084400000001, -8.593388999999997], [50, 41.150844, -8.593389]]",60.0
0,"[[15, 41.158872, -8.582517000000003], [16, 41.158872, -8.582517000000001]]",13.0
0,"[[247, 41.145966, -8.613639000000001], [248, 41.145966, -8.613666], [256, 41.145966, -8.612468999999999]]",41.0
2,"[[228, 41.145237, -8.616609], [229, 41.1452145, -8.6164155], [230, 41.145192, -8.616222], [231, 41.14528425, -8.61601725], [232, 41.145376500000005, -8.6158125], [233, 41.145468750000006, -8.61560775], [234, 41.14556100000001, -8.615403], [235, 41.145561, -8.615403], [236, 41.1456225, -8.615215500000001]]",19.0
1,"[[206, 41.14628509090909, -8.620023272727273], [207, 41.14628918181818, -8.619837545454546], [208, 41.14629327272728, -8.619651818181818], [209, 41.14629736363637, -8.619466090909091], [210, 41.146301454545466, -8.619280363636364], [211, 41.14630554545456, -8.619094636363636], [212, 41.14630963636365, -8.618908909090909], [213, 41.14631372727275, -8.618723181818181], [214, 41.14631781818184, -8.618537454545454], [215, 41.146321909090936, -8.618351727272726], [216, 41.14632600000003, -8.618165999999999], [217, 41.146326, -8.618165999999999], [218, 41.1461595, -8.6180355], [219, 41.145993, -8.617905], [220, 41.145826500000005, -8.617774500000001], [221, 41.14566000000001, -8.617644000000002], [222, 41.14549350000001, -8.617513500000003], [223, 41.14532700000001, -8.617383000000004], [224, 41.145327, -8.617383], [225, 41.1453045, -8.6171895]]",29.0
0,"[[153, 41.151312, -8.625842999999998], [154, 41.151312, -8.625843]]",18.0
1,"[[143, 41.15250899999998, -8.626455000000004], [144, 41.152509, -8.626455], [145, 41.1525, -8.626473]]",19.0
0,"[[123, 41.152532400000005, -8.6299704]]",18.0
0,"[[119, 41.152563, -8.630514000000002], [120, 41.152563, -8.630514]]",18.0
0,"[[113, 41.15260350000003, -8.631533249999997], [114, 41.15260800000004, -8.631341999999997]]",11.0
0,"[[109, 41.15258550000002, -8.632298249999998]]",10.0
0,"[[101, 41.152554, -8.633636999999993], [102, 41.152554, -8.633637]]",16.0
0,"[[89, 41.152532400000005, -8.635919399999999]]",18.0
0,"[[85, 41.152527000000006, -8.636490000000002], [86, 41.152527000000006, -8.63649]]",18.0
0,"[[56, 41.153760000000005, -8.641511999999993], [57, 41.153760000000005, -8.641512]]",16.0
0,"[[580, 41.184477, -8.663301000000006], [581, 41.184477, -8.663301]]",14.0
0,"[[567, 41.183055, -8.661555000000003], [568, 41.183055, -8.661555000000002]]",12.0
0,"[[386, 41.16539290909088, -8.645024454545457], [387, 41.16546245454543, -8.64484772727273], [388, 41.16553199999997, -8.644671000000002], [389, 41.165532000000006, -8.644671], [390, 41.16561492857144, -8.644509000000001]]",15.0
2,"[[89, 41.158629, -8.630217], [90, 41.158305000000006, -8.630325000000001], [91, 41.15812050000001, -8.630356500000001], [92, 41.15793600000001, -8.630388], [93, 41.1577515, -8.630419499999999], [94, 41.157567, -8.630450999999997], [95, 41.15756700000001, -8.630450999999999], [96, 41.157453, -8.6302995], [97, 41.157339, -8.630148], [98, 41.157225, -8.6299965], [99, 41.15711099999999, -8.629845000000001], [100, 41.15699699999999, -8.629693500000002], [101, 41.15688299999999, -8.629542000000002]]",23.0
0,"[[84, 41.159298, -8.630517], [85, 41.159103, -8.630429999999999]]",12.0
0,"[[79, 41.15993175, -8.630939249999997], [80, 41.1597855, -8.630827499999997], [81, 41.15963925, -8.630715749999997], [82, 41.159493, -8.630603999999996]]",13.0
4,"[[53, 41.163345000000014, -8.633537999999998], [54, 41.163345, -8.633538000000001], [55, 41.16319457142857, -8.63342742857143], [56, 41.16304414285714, -8.633316857142859], [57, 41.16289371428571, -8.633206285714287], [58, 41.16274328571428, -8.633095714285716], [59, 41.16259285714285, -8.632985142857144], [60, 41.16244242857142, -8.632874571428573], [61, 41.16229199999999, -8.632764000000002], [62, 41.162292, -8.632764], [63, 41.16214285714286, -8.632647], [64, 41.16199371428572, -8.632530000000001], [65, 41.16184457142858, -8.632413000000001], [66, 41.16169542857144, -8.632296000000002], [67, 41.1615462857143, -8.632179000000002], [68, 41.16139714285716, -8.632062000000003], [69, 41.16124800000002, -8.631945000000004]]",26.0
0,"[[45, 41.164155, -8.632547999999995], [46, 41.164155, -8.632548]]",16.0
17,"[[51, 41.146731, -8.609490000000001], [52, 41.146794, -8.609283000000001], [53, 41.146812, -8.609085], [54, 41.1469875, -8.6089545], [55, 41.147163000000006, -8.608823999999998], [56, 41.147163000000006, -8.608824], [57, 41.147328, -8.60898], [58, 41.147493, -8.609136000000001], [59, 41.14765799999999, -8.609292000000002], [60, 41.147658, -8.609292], [61, 41.1476886, -8.6094828], [62, 41.1477192, -8.6096736], [63, 41.14774980000001, -8.609864400000001], [64, 41.14778040000001, -8.610055200000001], [65, 41.14781100000001, -8.610246000000002], [66, 41.147811, -8.610246], [67, 41.147802, -8.610381000000002], [68, 41.14782, -8.610552], [69, 41.147841375, -8.610753375], [70, 41.14786275, -8.61095475], [71, 41.147884125, -8.611156124999999], [72, 41.14790550000001, -8.611357499999999], [73, 41.14792687500001, -8.611558874999998], [74, 41.14794825000001, -8.611760249999998], [75, 41.147969625000016, -8.611961624999998], [76, 41.14799100000002, -8.612162999999997], [77, 41.147991, -8.612163], [78, 41.14798269230769, -8.612346634615385], [79, 41.14797438461539, -8.612530269230769], [80, 41.14796607692308, -8.612713903846153], [81, 41.14795776923078, -8.612897538461537], [82, 41.14794946153848, -8.613081173076921], [83, 41.14794115384617, -8.613264807692305], [84, 41.14793284615386, -8.61344844230769], [85, 41.14792453846156, -8.613632076923073], [86, 41.147916230769255, -8.613815711538457], [87, 41.14790792307695, -8.613999346153841], [88, 41.147899615384645, -8.614182980769225], [89, 41.14789130769234, -8.61436661538461], [90, 41.14788300000004, -8.614550249999994], [91, 41.14787469230773, -8.614733884615378], [92, 41.14786638461543, -8.614917519230762], [93, 41.14785807692312, -8.615101153846146], [94, 41.14784976923082, -8.61528478846153], [95, 41.14784146153851, -8.615468423076914], [96, 41.14783315384621, -8.615652057692298], [97, 41.1478248461539, -8.615835692307682], [98, 41.1478165384616, -8.616019326923066], [99, 41.14780823076929, -8.61620296153845], [100, 41.14779992307699, -8.616386596153834], [101, 41.14779161538468, -8.616570230769218], [102, 41.14778330769238, -8.616753865384602], [103, 41.14777500000008, -8.616937499999986], [104, 41.14776669230777, -8.61712113461537], [105, 41.14775838461546, -8.617304769230755], [106, 41.14775007692316, -8.617488403846139], [107, 41.147741769230855, -8.617672038461523], [108, 41.14773346153855, -8.617855673076907], [109, 41.147725153846245, -8.61803930769229], [110, 41.14771684615394, -8.618222942307675], [111, 41.14770853846164, -8.618406576923059], [112, 41.14770023076933, -8.618590211538443], [113, 41.14769192307703, -8.618773846153827], [114, 41.14768361538472, -8.618957480769211], [115, 41.14767530769242, -8.619141115384595], [116, 41.14766700000011, -8.61932474999998], [117, 41.14765869230781, -8.619508384615363], [118, 41.1476503846155, -8.619692019230747], [119, 41.1476420769232, -8.619875653846131], [120, 41.14763376923089, -8.620059288461515], [121, 41.14762546153859, -8.6202429230769], [122, 41.14761715384629, -8.620426557692284], [123, 41.14760884615398, -8.620610192307668], [124, 41.14760053846168, -8.620793826923052], [125, 41.14759223076937, -8.620977461538436], [126, 41.147583923077065, -8.62116109615382], [127, 41.14757561538476, -8.621344730769204], [128, 41.147567307692455, -8.621528365384588], [129, 41.14755900000015, -8.621711999999972], [130, 41.147559, -8.621712], [131, 41.147625000000005, -8.621922], [132, 41.14769100000001, -8.622131999999999], [133, 41.14775700000001, -8.622341999999998], [134, 41.147757000000006, -8.622342], [135, 41.147811, -8.6225265], [136, 41.147865, -8.622710999999999], [137, 41.147919, -8.622895499999998], [138, 41.147973, -8.623079999999998], [139, 41.148027, -8.623264499999998], [140, 41.148081, -8.623448999999997], [141, 41.148135, -8.623633499999997], [142, 41.148189, -8.623817999999996], [143, 41.148189, -8.623818], [144, 41.1482595, -8.6240145], [145, 41.14833, -8.624210999999999], [146, 41.1484005, -8.624407499999998], [147, 41.148471, -8.624603999999998], [148, 41.1485415, -8.624800499999997], [149, 41.148612, -8.624996999999997], [150, 41.148612, -8.624997], [151, 41.148768857142855, -8.625096000000001], [152, 41.14892571428571, -8.625195000000001], [153, 41.149082571428565, -8.625294000000002], [154, 41.14923942857142, -8.625393000000003], [155, 41.14939628571428, -8.625492000000003], [156, 41.14955314285713, -8.625591000000004], [157, 41.14970999999999, -8.625690000000004], [158, 41.14971, -8.62569], [159, 41.1498981, -8.625720600000001], [160, 41.1500862, -8.625751200000002], [161, 41.15027430000001, -8.625781800000002], [162, 41.15046240000001, -8.625812400000003], [163, 41.15065050000001, -8.625843000000003], [164, 41.150838600000014, -8.625873600000004], [165, 41.15102670000002, -8.625904200000004], [166, 41.15121480000002, -8.625934800000005], [167, 41.15140290000002, -8.625965400000005], [168, 41.151591000000025, -8.625996000000006], [169, 41.151591, -8.625996], [170, 41.1518115, -8.626041], [171, 41.152032, -8.626086], [172, 41.1522525, -8.626131], [173, 41.15247299999999, -8.626176000000001], [174, 41.152473, -8.626176000000001], [175, 41.152664, -8.626236]]",137.0
7,"[[0, 41.14856699999999, -8.585667], [1, 41.148639, -8.585694], [2, 41.148747, -8.585712000000001], [3, 41.148945, -8.585775], [4, 41.148981, -8.586036], [5, 41.148999, -8.5862214], [6, 41.14901699999999, -8.586406799999999], [7, 41.14903499999999, -8.586592199999998], [8, 41.14905299999999, -8.586777599999998], [9, 41.14907099999999, -8.586962999999997], [10, 41.149071, -8.586963], [11, 41.14911825, -8.587150875], [12, 41.1491655, -8.58733875], [13, 41.14921275, -8.587526625], [14, 41.149260000000005, -8.5877145], [15, 41.14930725000001, -8.587902375], [16, 41.14935450000001, -8.58809025], [17, 41.14940175000001, -8.588278125], [18, 41.14944900000001, -8.588466], [19, 41.149449, -8.588466], [20, 41.149501875000006, -8.58865725], [21, 41.14955475000001, -8.588848500000001], [22, 41.14960762500001, -8.589039750000001], [23, 41.14966050000001, -8.589231000000002], [24, 41.14971337500001, -8.589422250000002], [25, 41.14976625000001, -8.589613500000002], [26, 41.149819125000015, -8.589804750000003], [27, 41.149872000000016, -8.589996000000003], [28, 41.149872, -8.589996000000001], [29, 41.149919700000005, -8.590175100000002], [30, 41.14996740000001, -8.590354200000002], [31, 41.15001510000001, -8.590533300000002], [32, 41.150062800000015, -8.590712400000003], [33, 41.15011050000002, -8.590891500000003], [34, 41.15015820000002, -8.591070600000004], [35, 41.15020590000002, -8.591249700000004], [36, 41.15025360000003, -8.591428800000005], [37, 41.15030130000003, -8.591607900000005], [38, 41.150349000000034, -8.591787000000005], [39, 41.150349000000006, -8.591787], [40, 41.150397375, -8.591976], [41, 41.15044575, -8.592165000000001], [42, 41.150494125, -8.592354000000002], [43, 41.1505425, -8.592543000000003], [44, 41.150590875, -8.592732000000003], [45, 41.15063925, -8.592921000000004], [46, 41.150687625, -8.593110000000005], [47, 41.150736, -8.593299000000005], [48, 41.150736, -8.593299000000002], [49, 41.150763, -8.593515000000002], [50, 41.150763, -8.593497], [51, 41.150772, -8.593488], [52, 41.150772, -8.593497], [53, 41.150772, -8.593533]]",63.0
0,"[[122, 41.161635, -8.651565], [123, 41.161635, -8.65152]]",13.0
0,"[[2, 41.148558, -8.585712000000001], [3, 41.148558, -8.585721]]",12.0
0,"[[12, 41.15234957142856, -8.626418999999999]]",14.0
0,"[[7, 41.151276, -8.626194000000002]]",11.0
0,"[[5, 41.151276, -8.626158]]",11.0
1,"[[0, 41.1489, -8.585685000000002], [1, 41.148990000000005, -8.586018000000001], [2, 41.1490116, -8.5862178], [3, 41.1490332, -8.586417599999999], [4, 41.1490548, -8.586617399999998], [5, 41.14907639999999, -8.586817199999997], [6, 41.14909799999999, -8.587016999999996]]",18.0
0,"[[181, 41.145993, -8.612829000000001], [182, 41.145993, -8.612829]]",33.0
0,"[[169, 41.145858, -8.614538999999997], [170, 41.145858, -8.614538999999999]]",16.0
0,"[[161, 41.145399, -8.615762999999998], [162, 41.145399, -8.615763]]",22.0
2,"[[142, 41.14632109090909, -8.617954090909091], [143, 41.146344, -8.61777], [144, 41.1461655, -8.6177175], [145, 41.145987000000005, -8.617664999999999], [146, 41.14580850000001, -8.617612499999998], [147, 41.14563000000001, -8.617559999999997], [148, 41.145451500000014, -8.617507499999997], [149, 41.14527300000002, -8.617454999999996], [150, 41.145273, -8.617455], [151, 41.145123000000005, -8.617287], [152, 41.14497300000001, -8.617118999999999]]",20.0
0,"[[126, 41.146542, -8.620379999999997], [127, 41.146542, -8.620379999999999]]",13.0
0,"[[109, 41.147784, -8.622629999999997], [110, 41.147784, -8.62263]]",13.0
0,"[[88, 41.14944, -8.625617999999996], [89, 41.14944, -8.625618]]",14.0
1,"[[28, 41.15752560000001, -8.630096400000001], [29, 41.15737440000001, -8.629977600000002], [30, 41.15722320000001, -8.629858800000003], [31, 41.157072000000014, -8.629740000000004], [32, 41.15707200000001, -8.62974]]",14.0
0,"[[25, 41.157828, -8.630334000000001], [26, 41.157828, -8.630334]]",20.0
0,"[[113, 41.152284, -8.580311999999994], [114, 41.152284, -8.580312]]",12.0
0,"[[76, 41.146695, -8.579970000000003], [77, 41.146695, -8.57997]]",12.0
1,"[[1, 41.148846, -8.585747999999999], [2, 41.148945, -8.585973], [3, 41.149044, -8.586198], [4, 41.1489, -8.586234000000001]]",15.0
0,"[[1, 41.148756, -8.585730000000002], [2, 41.148954, -8.585721], [3, 41.148981, -8.586063000000001], [4, 41.148801000000006, -8.586153]]",14.0
16,"[[4, 41.146134, -8.610555], [5, 41.14624799999999, -8.610387], [6, 41.14636199999999, -8.610218999999999], [7, 41.146362, -8.610218999999999], [8, 41.146542, -8.609957999999999], [9, 41.146695, -8.60967], [10, 41.146767, -8.609346], [11, 41.146890000000006, -8.609181000000001], [12, 41.14701300000001, -8.609016000000002], [13, 41.14713600000001, -8.608851000000003], [14, 41.147136, -8.608851000000001], [15, 41.147199, -8.60886], [16, 41.147433, -8.609013], [17, 41.147514, -8.609205], [18, 41.147595, -8.609397], [19, 41.147676, -8.609589], [20, 41.147676, -8.609589000000001], [21, 41.147706, -8.6097675], [22, 41.147736, -8.609946], [23, 41.14776599999999, -8.610124500000001], [24, 41.14779599999999, -8.610303000000002], [25, 41.14782599999998, -8.610481500000002], [26, 41.147855999999976, -8.610660000000003], [27, 41.147856, -8.61066], [28, 41.147802, -8.610714000000002], [29, 41.147694, -8.610777], [30, 41.147895, -8.610819000000001], [31, 41.148096, -8.610861000000002], [32, 41.14829700000001, -8.610903000000002], [33, 41.148297, -8.610903], [34, 41.148486, -8.610831000000001], [35, 41.148675, -8.610759000000002], [36, 41.148864, -8.610687000000002], [37, 41.148864, -8.610687], [38, 41.148909, -8.610642000000002], [39, 41.149071000000006, -8.610554250000002], [40, 41.14923300000001, -8.610466500000001], [41, 41.14939500000001, -8.61037875], [42, 41.149557000000016, -8.610291], [43, 41.149557, -8.610291], [44, 41.1497478, -8.6102622], [45, 41.1499386, -8.610233399999998], [46, 41.1501294, -8.610204599999998], [47, 41.1503202, -8.610175799999997], [48, 41.150511, -8.610146999999996], [49, 41.15051100000001, -8.610147], [50, 41.150664000000006, -8.610047999999999], [51, 41.150817, -8.609948999999999], [52, 41.15097, -8.609849999999998], [53, 41.15097000000001, -8.60985], [54, 41.15118825, -8.60982975], [55, 41.15140650000001, -8.609809499999999], [56, 41.15162475000001, -8.609789249999999], [57, 41.151843000000014, -8.609768999999998], [58, 41.15184300000001, -8.609769], [59, 41.15204250000001, -8.609811], [60, 41.15224200000001, -8.609853000000001], [61, 41.15244150000001, -8.609895000000002], [62, 41.15264100000001, -8.609937000000002], [63, 41.15284050000001, -8.609979000000003], [64, 41.15304000000001, -8.610021000000003], [65, 41.15304, -8.610021], [66, 41.15324700000001, -8.6099895], [67, 41.15345400000001, -8.609957999999999], [68, 41.153661000000014, -8.609926499999998], [69, 41.15386800000002, -8.609894999999998], [70, 41.15407500000002, -8.609863499999998], [71, 41.15428200000002, -8.609831999999997], [72, 41.154282, -8.609832], [73, 41.154498, -8.60982525], [74, 41.154714000000006, -8.6098185], [75, 41.15493000000001, -8.609811749999999]]",83.0
0,"[[149, 41.157576, -8.625563999999997], [150, 41.157576, -8.625564]]",14.0
0,"[[104, 41.156127, -8.617887000000007], [105, 41.156127, -8.617887]]",18.0
1,"[[61, 41.153625, -8.611920000000005], [62, 41.153625, -8.61192], [63, 41.153922, -8.612091], [64, 41.154126000000005, -8.6121255], [65, 41.15433, -8.61216], [66, 41.154534, -8.6121945], [67, 41.154738, -8.612229], [68, 41.15494199999999, -8.6122635], [69, 41.15514599999999, -8.612298]]",19.0
1,"[[628, 41.169636, -8.606007], [629, 41.16966954545455, -8.605815545454545], [630, 41.169703090909096, -8.60562409090909]]",13.0
0,"[[407, 41.168511, -8.640062999999998], [408, 41.168511, -8.640063]]",11.0
0,"[[260, 41.18584500000001, -8.66500199999999], [261, 41.18584500000001, -8.665002]]",12.0
0,"[[50, 41.164137, -8.636616], [53, 41.164137, -8.636553000000001]]",18.0
