,polyline,value
14,"[[3, -8.612460000000002, 41.148099], [4, -8.61246, 41.148099], [5, -8.612700230769232, 41.14808492307692], [6, -8.612940461538463, 41.14807084615384], [7, -8.613180692307694, 41.14805676923076], [8, -8.613420923076925, 41.14804269230768], [9, -8.613661153846156, 41.14802861538461], [10, -8.613901384615387, 41.14801453846152], [11, -8.614141615384618, 41.148000461538444], [12, -8.614381846153849, 41.147986384615365], [13, -8.61462207692308, 41.147972307692285], [14, -8.614862307692311, 41.147958230769206], [15, -8.615102538461542, 41.147944153846126], [16, -8.615342769230773, 41.147930076923046], [17, -8.615583000000004, 41.14791599999997], [18, -8.615823230769236, 41.14790192307689], [19, -8.616063461538467, 41.14788784615381], [20, -8.616303692307698, 41.14787376923073], [21, -8.616543923076929, 41.14785969230765], [22, -8.61678415384616, 41.14784561538457], [23, -8.61702438461539, 41.14783153846149], [24, -8.617264615384622, 41.14781746153841], [25, -8.617504846153853, 41.14780338461533], [26, -8.617745076923084, 41.14778930769225], [27, -8.617985307692315, 41.14777523076917], [28, -8.618225538461546, 41.14776115384609], [29, -8.618465769230777, 41.14774707692301], [30, -8.618706000000008, 41.14773299999993], [31, -8.61894623076924, 41.14771892307685], [32, -8.61918646153847, 41.14770484615377], [33, -8.619426692307702, 41.14769076923069], [34, -8.619666923076933, 41.14767669230761], [35, -8.619907153846164, 41.14766261538453], [36, -8.620147384615395, 41.14764853846145], [37, -8.620387615384626, 41.14763446153837], [38, -8.620627846153857, 41.147620384615294], [39, -8.620868076923088, 41.147606307692215], [40, -8.62110830769232, 41.147592230769135], [41, -8.62134853846155, 41.147578153846055], [42, -8.621588769230781, 41.147564076922976], [43, -8.621829000000012, 41.147549999999896], [44, -8.621829, 41.14755], [45, -8.6220585, 41.14761299999999], [46, -8.622288, 41.14767599999999], [47, -8.622517499999999, 41.14773899999999], [48, -8.622746999999999, 41.147801999999984], [49, -8.622976499999998, 41.14786499999998], [50, -8.623205999999998, 41.14792799999998], [51, -8.623435499999998, 41.147990999999976], [52, -8.623664999999997, 41.14805399999997], [53, -8.623665, 41.148054], [54, -8.6238855, 41.148141], [55, -8.624106, 41.148228], [56, -8.624326499999999, 41.148315], [57, -8.624546999999998, 41.148402], [58, -8.624767499999997, 41.148489], [59, -8.624987999999997, 41.148576], [60, -8.624988, 41.148576000000006], [61, -8.625096, 41.148762000000005], [62, -8.625204, 41.148948], [63, -8.625312000000001, 41.149134], [64, -8.625420000000002, 41.14932], [65, -8.625528000000003, 41.149506], [66, -8.625636000000004, 41.149692], [67, -8.625636, 41.14969200000001], [68, -8.625677142857143, 41.14989257142858], [69, -8.625718285714285, 41.15009314285715], [70, -8.625759428571428, 41.15029371428572], [71, -8.62580057142857, 41.150494285714295], [72, -8.625841714285713, 41.15069485714287], [73, -8.625882857142855, 41.15089542857144], [74, -8.625923999999998, 41.15109600000001], [75, -8.625924, 41.151096], [76, -8.6259555, 41.1513015], [77, -8.625987, 41.151507], [78, -8.6260185, 41.1517125], [79, -8.626050000000001, 41.151918], [80, -8.626081500000002, 41.1521235], [81, -8.626113000000002, 41.152329], [82, -8.626113, 41.152329], [83, -8.62635, 41.152389], [84, -8.626587, 41.152449], [85, -8.626824000000001, 41.152509], [86, -8.626824, 41.152509], [87, -8.627072625, 41.152516875], [88, -8.627321250000001, 41.152524750000005], [89, -8.627569875000002, 41.152532625000006], [90, -8.627818500000004, 41.15254050000001], [91, -8.628067125000005, 41.15254837500001], [92, -8.628315750000006, 41.15255625000001], [93, -8.628564375000007, 41.15256412500001], [95, -8.628813000000001, 41.152572000000006], [96, -8.6290695, 41.152581000000005], [97, -8.629325999999999, 41.15259], [98, -8.629582499999998, 41.152599], [99, -8.629838999999997, 41.152608], [100, -8.630095499999996, 41.152617], [102, -8.630351999999998, 41.152626], [103, -8.630379, 41.152599], [104, -8.6306544, 41.1526314], [105, -8.630929799999999, 41.1526638], [106, -8.631205199999998, 41.1526962], [107, -8.631480599999998, 41.1527286], [108, -8.631755999999998, 41.152761000000005]]",115.0
0,"[[2, -8.585747999999999, 41.148747], [3, -8.585847000000001, 41.148963], [4, -8.58591, 41.14897200000001]]",14.0
0,"[[0, -8.585694, 41.14856699999999]]",10.0
0,"[[60, -8.605008, 41.170797]]",12.0
5,"[[9, -8.606682000000001, 41.162913], [10, -8.606620285714287, 41.16308785714286], [11, -8.606558571428574, 41.16326271428572], [12, -8.60649685714286, 41.16343757142858], [13, -8.606435142857146, 41.16361242857144], [14, -8.606373428571432, 41.1637872857143], [15, -8.606311714285718, 41.16396214285716], [17, -8.606250000000001, 41.164137], [18, -8.606307000000001, 41.164326], [19, -8.606364000000001, 41.164515], [20, -8.606421000000001, 41.16470399999999], [21, -8.606421000000001, 41.164704], [22, -8.606424857142859, 41.16489171428572], [23, -8.606428714285716, 41.16507942857143], [24, -8.606432571428574, 41.16526714285715], [25, -8.606436428571431, 41.16545485714286], [26, -8.606440285714289, 41.16564257142858], [27, -8.606444142857146, 41.16583028571429], [28, -8.606448000000004, 41.16601800000001], [29, -8.606448, 41.166018], [30, -8.606449125000001, 41.166210375], [31, -8.606450250000002, 41.16640275], [32, -8.606451375000002, 41.16659512499999], [33, -8.606452500000003, 41.16678749999999], [34, -8.606453625000004, 41.16697987499999], [35, -8.606454750000005, 41.16717224999999], [36, -8.606455875000005, 41.16736462499998], [37, -8.606457000000006, 41.16755699999998], [38, -8.606457, 41.167557], [39, -8.606418300000001, 41.1677442], [40, -8.6063796, 41.16793139999999], [41, -8.6063409, 41.16811859999999], [42, -8.606302199999998, 41.16830579999999], [43, -8.606263499999997, 41.16849299999999], [44, -8.606224799999996, 41.16868019999999], [45, -8.606186099999995, 41.16886739999999], [46, -8.606147399999994, 41.16905459999999], [47, -8.606108699999993, 41.16924179999999], [48, -8.606069999999992, 41.16942899999999], [49, -8.606069999999999, 41.169429], [50, -8.60594175, 41.16959775], [51, -8.6058135, 41.1697665], [52, -8.60568525, 41.16993525], [53, -8.605557000000001, 41.170104], [54, -8.605428750000002, 41.17027275], [55, -8.605300500000002, 41.1704415], [56, -8.605172250000003, 41.17061025]]",60.0
10,"[[27, -8.60796, 41.14741500000001], [28, -8.60796, 41.147415], [29, -8.608113000000001, 41.147397000000005], [30, -8.608194, 41.147406], [31, -8.608436999999999, 41.14749375], [32, -8.60868, 41.1475815], [33, -8.608923, 41.14766925000001], [34, -8.609166000000002, 41.14775700000001], [35, -8.609166, 41.147757000000006], [36, -8.60945175, 41.147811], [37, -8.6097375, 41.147865], [38, -8.61002325, 41.147919], [39, -8.610308999999999, 41.147973], [40, -8.610309, 41.14797299999999], [41, -8.610381000000002, 41.147919], [42, -8.610633, 41.1480945], [43, -8.610885, 41.14827], [44, -8.610768, 41.148603], [45, -8.610651, 41.148864], [46, -8.6105754, 41.149071000000006], [47, -8.6104998, 41.14927800000001], [48, -8.610424199999999, 41.14948500000001], [49, -8.610348599999998, 41.149692000000016], [50, -8.610272999999998, 41.14989900000002], [51, -8.610273000000001, 41.149899000000005], [52, -8.6103, 41.15016], [53, -8.610327, 41.150421], [54, -8.610291, 41.150412], [55, -8.610228000000001, 41.150556], [56, -8.610075, 41.150754], [57, -8.609922, 41.150952], [58, -8.609768999999998, 41.15115], [59, -8.609769, 41.15115], [60, -8.609634, 41.15133], [61, -8.609499, 41.15151], [62, -8.609499000000001, 41.15151], [63, -8.6097015, 41.151717000000005], [64, -8.609904, 41.15192400000001], [65, -8.6099235, 41.15210400000001], [66, -8.609943000000001, 41.15228400000001], [67, -8.609962500000002, 41.15246400000001], [68, -8.609982000000002, 41.15264400000001], [69, -8.610001500000003, 41.15282400000001], [70, -8.610021000000003, 41.15300400000001], [71, -8.610021, 41.153004], [72, -8.61001875, 41.153222250000006], [73, -8.6100165, 41.15344050000001], [74, -8.61001425, 41.15365875000001], [75, -8.610012000000001, 41.153877000000016], [76, -8.610012000000001, 41.15387700000001], [77, -8.609936625000001, 41.154052500000006], [78, -8.609861250000002, 41.154228], [79, -8.609785875000002, 41.1544035], [80, -8.609710500000002, 41.154579], [81, -8.609635125000002, 41.1547545], [82, -8.609559750000003, 41.15492999999999], [83, -8.609484375000003, 41.15510549999999], [84, -8.609409000000003, 41.15528099999999], [85, -8.609409, 41.155281], [86, -8.6094045, 41.15546774999999], [87, -8.6094, 41.15565449999999], [88, -8.609395500000002, 41.15584124999999], [89, -8.609391000000002, 41.15602799999999], [90, -8.609386500000003, 41.15621474999998], [91, -8.609382000000004, 41.15640149999998], [92, -8.609377500000004, 41.15658824999998], [93, -8.609373000000005, 41.156774999999975], [94, -8.609373000000001, 41.156775], [95, -8.609337, 41.157108], [96, -8.609275285714286, 41.157289285714285], [97, -8.609213571428572, 41.15747057142857], [98, -8.609151857142859, 41.15765185714285], [99, -8.609090142857145, 41.157833142857136], [100, -8.609028428571431, 41.15801442857142], [101, -8.608966714285717, 41.1581957142857], [102, -8.608905000000004, 41.15837699999999], [103, -8.608905, 41.158377], [104, -8.6088159, 41.1585624], [105, -8.6087268, 41.15874779999999], [106, -8.6086377, 41.15893319999999], [107, -8.608548599999999, 41.15911859999999], [108, -8.608459499999999, 41.15930399999999], [109, -8.608370399999998, 41.15948939999999], [110, -8.608281299999998, 41.15967479999999], [111, -8.608192199999998, 41.15986019999999], [112, -8.608103099999997, 41.16004559999999], [113, -8.608013999999997, 41.16023099999999], [114, -8.608014, 41.160231], [115, -8.607940363636365, 41.16040568181818], [116, -8.607866727272729, 41.16058036363636], [117, -8.607793090909093, 41.16075504545454], [118, -8.607719454545457, 41.16092972727272], [119, -8.60764581818182, 41.1611044090909], [120, -8.607572181818185, 41.16127909090908], [121, -8.607498545454549, 41.16145377272726], [122, -8.607424909090913, 41.16162845454544], [123, -8.607351272727277, 41.16180313636362], [124, -8.60727763636364, 41.1619778181818], [125, -8.607204000000005, 41.16215249999998], [126, -8.607130363636369, 41.16232718181816], [127, -8.607056727272733, 41.16250186363634], [128, -8.606983090909097, 41.16267654545453], [129, -8.60690945454546, 41.162851227272704], [130, -8.606835818181825, 41.16302590909088], [131, -8.606762181818189, 41.16320059090906], [132, -8.606688545454553, 41.16337527272725], [133, -8.606614909090917, 41.163549954545424], [134, -8.60654127272728, 41.1637246363636], [135, -8.606467636363645, 41.16389931818178], [136, -8.606394000000009, 41.16407399999997], [137, -8.606394, 41.164074], [138, -8.606322, 41.164137], [139, -8.606331, 41.164323], [140, -8.606340000000001, 41.164509], [141, -8.606349000000002, 41.164695], [142, -8.606358000000002, 41.164881], [143, -8.606367000000002, 41.16506699999999], [144, -8.606376000000003, 41.16525299999999], [145, -8.606376, 41.165253], [146, -8.606391428571428, 41.165454857142855], [147, -8.606406857142856, 41.16565671428571], [148, -8.606422285714284, 41.165858571428565], [149, -8.606437714285713, 41.16606042857142], [150, -8.606453142857141, 41.16626228571428], [151, -8.60646857142857, 41.16646414285713], [152, -8.606483999999998, 41.16666599999999], [153, -8.606484, 41.166666], [154, -8.606482, 41.166858], [155, -8.60648, 41.16705], [156, -8.606478, 41.167242], [157, -8.606475999999999, 41.16743399999999], [158, -8.606473999999999, 41.16762599999999], [159, -8.606471999999998, 41.16781799999999], [160, -8.606469999999998, 41.16800999999999], [161, -8.606467999999998, 41.16820199999999], [162, -8.606465999999998, 41.16839399999999], [163, -8.606466000000001, 41.168394], [164, -8.606366181818183, 41.16855927272727], [165, -8.606266363636365, 41.16872454545455], [166, -8.606166545454547, 41.16888981818182], [167, -8.60606672727273, 41.16905509090909], [168, -8.605966909090911, 41.16922036363636], [169, -8.605867090909094, 41.16938563636364], [170, -8.605767272727276, 41.16955090909091], [171, -8.605667454545458, 41.16971618181818], [172, -8.60556763636364, 41.169881454545454], [173, -8.605467818181822, 41.17004672727273], [174, -8.605368000000004, 41.170212]]",158.0
0,"[[19, -8.606889, 41.146821], [20, -8.606889, 41.146848000000006]]",16.0
0,"[[15, -8.607015, 41.146353], [16, -8.607015, 41.146524]]",18.0
0,"[[3, -8.606501999999999, 41.144697], [5, -8.606501999999999, 41.144688]]",21.0
0,"[[0, -8.606501999999999, 41.144643]]",20.0
0,"[[69, -8.633116799999998, 41.16263579999999]]",11.0
2,"[[52, -8.636541428571428, 41.16424114285714], [53, -8.636297142857142, 41.16417171428572], [54, -8.636052857142856, 41.164102285714286], [55, -8.63580857142857, 41.16403285714286], [56, -8.635564285714283, 41.16396342857143], [57, -8.635319999999997, 41.163894], [58, -8.63532, 41.163894], [59, -8.635093714285714, 41.16380785714286], [60, -8.634867428571429, 41.163721714285714], [61, -8.634641142857143, 41.16363557142857], [62, -8.634414857142858, 41.16354942857143], [63, -8.634188571428572, 41.163463285714286], [64, -8.633962285714286, 41.16337714285714], [65, -8.633736, 41.163291], [66, -8.6335812, 41.1631272], [67, -8.6334264, 41.1629634]]",25.0
0,"[[49, -8.63703, 41.16438]]",10.0
0,"[[41, -8.638411499999998, 41.16445649999999], [42, -8.638151999999998, 41.16445499999999]]",11.0
0,"[[37, -8.63919, 41.16446100000001], [38, -8.63919, 41.164461]]",16.0
0,"[[22, -8.6425515, 41.164992], [23, -8.64232425, 41.164911]]",12.0
0,"[[12, -8.644563, 41.16544200000001], [13, -8.644563, 41.165442000000006]]",13.0
0,"[[37, -8.626005000000001, 41.15178], [38, -8.626005000000001, 41.151597], [39, -8.626005000000001, 41.151414], [40, -8.626005000000001, 41.151231], [41, -8.626005000000001, 41.151048], [42, -8.626005000000001, 41.150865], [43, -8.626005000000001, 41.150682]]",41.0
0,"[[32, -8.626545, 41.152491000000005]]",12.0
0,"[[30, -8.626545, 41.152473]]",12.0
0,"[[71, -8.607024000000001, 41.148558], [72, -8.607024000000001, 41.14854]]",12.0
0,"[[25, -8.608383, 41.15349899999999], [26, -8.608383, 41.153499]]",21.0
1,"[[3, -8.613297, 41.153805], [4, -8.6130576, 41.1537744], [5, -8.6128182, 41.1537438], [6, -8.6125788, 41.15371319999999], [7, -8.6123394, 41.15368259999999]]",18.0
1,"[[22, -8.610309, 41.147838], [23, -8.610372, 41.147838], [24, -8.610624000000001, 41.1477975]]",21.0
0,"[[17, -8.608851000000001, 41.147559]]",17.0
7,"[[1, -8.609696999999999, 41.151339], [2, -8.609652, 41.151348000000006], [3, -8.609544000000001, 41.151447000000005], [4, -8.609688000000002, 41.151639], [5, -8.609832000000003, 41.151831], [6, -8.609976000000003, 41.152023], [7, -8.609976000000001, 41.152023], [8, -8.6099805, 41.1522135], [9, -8.609985, 41.152404], [10, -8.6099895, 41.152594500000006], [11, -8.609993999999999, 41.15278500000001], [12, -8.609998499999998, 41.15297550000001], [13, -8.610002999999997, 41.15316600000001], [14, -8.610002999999999, 41.153166000000006], [15, -8.6099895, 41.153368500000006], [16, -8.609976, 41.15357100000001], [17, -8.6099625, 41.15377350000001], [18, -8.609949, 41.15397600000001], [19, -8.609949, 41.153976], [20, -8.609872000000001, 41.154148], [21, -8.609795000000002, 41.15432], [22, -8.609718000000003, 41.154492], [23, -8.609641000000003, 41.154664], [24, -8.609564000000004, 41.154836], [25, -8.609487000000005, 41.155008], [26, -8.609410000000006, 41.15518], [27, -8.609333000000007, 41.15535199999999], [30, -8.609250600000001, 41.1557238], [31, -8.609245200000002, 41.15592360000001], [32, -8.609239800000003, 41.15612340000001], [33, -8.609234400000004, 41.15632320000002], [34, -8.609229000000004, 41.15652300000002], [35, -8.609229000000001, 41.15652300000001], [36, -8.609170500000001, 41.156743500000005], [37, -8.609112000000001, 41.156964], [38, -8.609053500000002, 41.1571845], [39, -8.608995000000002, 41.157405]]",50.0
